tweet_id,img_num,breed,timestamp,rating_numerator,rating_denominator,name,dog_nickname,favorite_count,retweet_count
679828447187857408,3,Chihuahua,2015-12-24 00:58:27,13,10,none,pupper,33042,12528
679844490799091713,1,Airedale,2015-12-24 02:02:12,10,10,Willie,none,2183,685
679854723806179328,1,chow,2015-12-24 02:42:51,7,10,Bruce,none,2603,1097
679862121895714818,1,EntleBucher,2015-12-24 03:12:15,11,10,Dammit,none,2243,553
680070545539371008,1,Shih-Tzu,2015-12-24 17:00:27,9,10,Emmie,none,2379,771
680100725817409536,1,golden_retriever,2015-12-24 19:00:23,11,10,none,pupper,3293,1244
680115823365742593,1,pug,2015-12-24 20:00:22,9,10,Ozzy,none,2490,821
680130881361686529,1,Maltese_dog,2015-12-24 21:00:12,10,10,Reggie,none,2109,854
680145970311643136,1,miniature_poodle,2015-12-24 22:00:10,10,10,Kawhi,pupper,3308,1555
680161097740095489,1,bluetick,2015-12-24 23:00:17,12,10,Goliath,none,2136,669
680191257256136705,1,Brittany_spaniel,2015-12-25 01:00:07,11,10,none,pupper,1972,440
680473011644985345,1,Lakeland_terrier,2015-12-25 19:39:43,10,10,Hector,none,2339,668
680497766108381184,1,Chihuahua,2015-12-25 21:18:05,12,10,Percy,none,3876,1728
680609293079592961,1,French_bulldog,2015-12-26 04:41:15,9,10,Brody,none,2405,622
680801747103793152,1,pug,2015-12-26 17:25:59,10,10,Great,none,2181,739
680836378243002368,3,Pembroke,2015-12-26 19:43:36,12,10,Ellie,pupper,3173,1182
680889648562991104,1,Shetland_sheepdog,2015-12-26 23:15:17,9,10,Cheesy,none,1606,323
680913438424612864,1,Pomeranian,2015-12-27 00:49:49,11,10,Griswold,none,2204,562
680934982542561280,1,Labrador_retriever,2015-12-27 02:15:25,10,10,Sadie,none,1908,391
680940246314430465,1,soft-coated_wheaten_terrier,2015-12-27 02:36:20,4,10,none,none,2921,935
680959110691590145,2,pug,2015-12-27 03:51:18,9,10,Ozzie,none,4205,1816
680970795137544192,1,pug,2015-12-27 04:37:44,9,10,none,none,2203,583
681193455364796417,1,Pomeranian,2015-12-27 19:22:30,11,10,Aspen,none,3402,1331
681231109724700672,1,Irish_setter,2015-12-27 21:52:07,11,10,none,pupper,2230,436
681261549936340994,1,Tibetan_terrier,2015-12-27 23:53:05,9,10,Panda,none,1332,235
681281657291280384,1,Saint_Bernard,2015-12-28 01:12:59,11,10,Sarge,none,2957,992
681297372102656000,1,Lhasa,2015-12-28 02:15:26,12,10,Thank,none,2951,852
681320187870711809,1,Samoyed,2015-12-28 03:46:05,11,10,Glacier,none,2403,671
681339448655802368,1,Labrador_retriever,2015-12-28 05:02:37,9,10,Asher,none,8540,3691
681523177663676416,1,Norfolk_terrier,2015-12-28 17:12:42,12,10,none,none,13120,5184
681579835668455424,1,Rottweiler,2015-12-28 20:57:50,8,10,Apollo,none,3240,1172
681610798867845120,1,toy_poodle,2015-12-28 23:00:52,12,10,none,none,1725,416
681654059175129088,1,Pomeranian,2015-12-29 01:52:46,12,10,Toffee,none,2410,819
681694085539872773,1,toy_poodle,2015-12-29 04:31:49,11,10,BenedoopCumbersnatch,pupper,11780,3678
681891461017812993,1,Chihuahua,2015-12-29 17:36:07,10,10,Charlie,pupper,2266,744
681981167097122816,1,Labrador_retriever,2015-12-29 23:32:35,12,10,Jimothy,none,2589,916
682032003584274432,1,schipperke,2015-12-30 02:54:35,11,10,Ulysses,none,6033,1788
682259524040966145,1,Siberian_husky,2015-12-30 17:58:40,9,10,Jax,none,3797,1077
682303737705140231,1,Lakeland_terrier,2015-12-30 20:54:22,9,10,Todo,none,2812,882
682389078323662849,1,curly-coated_retriever,2015-12-31 02:33:29,9,10,Brody,none,1533,423
682393905736888321,1,vizsla,2015-12-31 02:52:40,11,10,Kreg,none,2062,595
682429480204398592,1,whippet,2015-12-31 05:14:01,8,10,none,none,3174,1042
682638830361513985,1,English_springer,2015-12-31 19:05:54,12,10,none,none,1898,534
682662431982772225,1,beagle,2015-12-31 20:39:41,11,10,Joe,none,2806,986
682750546109968385,1,English_setter,2016-01-01 02:29:49,9,10,Taco,none,1398,398
683030066213818368,1,boxer,2016-01-01 21:00:32,10,10,Lulu,none,1995,666
683078886620553216,1,Eskimo_dog,2016-01-02 00:14:32,9,10,Feet,none,1852,517
683098815881154561,1,golden_retriever,2016-01-02 01:33:43,12,10,none,none,1992,587
683111407806746624,1,cocker_spaniel,2016-01-02 02:23:45,10,10,Larry,none,3136,814
683142553609318400,1,Leonberg,2016-01-02 04:27:31,9,10,Brandy,none,2638,931
683357973142474752,1,Pembroke,2016-01-02 18:43:31,10,10,none,none,2658,822
683391852557561860,1,French_bulldog,2016-01-02 20:58:09,11,10,Jac,none,7027,2171
683449695444799489,1,Lakeland_terrier,2016-01-03 00:47:59,10,10,none,none,3571,1454
683462770029932544,1,Italian_greyhound,2016-01-03 01:39:57,8,10,none,pupper,2237,620
683481228088049664,1,keeshond,2016-01-03 02:53:17,11,10,Banjo,pupper,2439,901
683498322573824003,1,Airedale,2016-01-03 04:01:13,11,10,Griffin,none,2923,872
683742671509258241,1,Pembroke,2016-01-03 20:12:10,11,10,Sebastian,none,5958,2993
683773439333797890,1,miniature_pinscher,2016-01-03 22:14:26,9,10,Buddy,none,3064,1218
683828599284170753,1,malamute,2016-01-04 01:53:37,12,10,Dogue,pupper,2577,969
683834909291606017,1,Maltese_dog,2016-01-04 02:18:42,9,10,none,none,2400,1017
683849932751646720,1,Mexican_hairless,2016-01-04 03:18:23,5,10,Jiminy,none,2407,850
683852578183077888,1,toy_poodle,2016-01-04 03:28:54,10,10,Tiger,none,1786,315
683857920510050305,1,bluetick,2016-01-04 03:50:08,10,10,Sadie,none,3505,1017
684097758874210310,1,Labrador_retriever,2016-01-04 19:43:10,10,10,Lupe,none,3780,1293
684177701129875456,1,chow,2016-01-05 01:00:50,10,10,Kulet,none,1863,591
684188786104872960,1,kelpie,2016-01-05 01:44:52,10,10,none,none,3213,1045
684195085588783105,1,Chihuahua,2016-01-05 02:09:54,9,10,Tino,none,1757,453
684241637099323392,1,Pembroke,2016-01-05 05:14:53,12,10,Obi,none,7463,2939
684460069371654144,1,Labrador_retriever,2016-01-05 19:42:51,10,10,Jeph,none,1811,502
684481074559381504,1,Chihuahua,2016-01-05 21:06:19,10,10,Pippa,none,3557,1069
684594889858887680,1,Weimaraner,2016-01-06 04:38:35,10,10,THE,none,8160,3163
684800227459624960,1,miniature_schnauzer,2016-01-06 18:14:31,11,10,Theodore,none,2511,899
684902183876321280,1,Pembroke,2016-01-07 00:59:40,11,10,Perry,none,1716,463
684914660081053696,1,chow,2016-01-07 01:49:14,12,10,none,none,3213,1320
684926975086034944,1,Labrador_retriever,2016-01-07 02:38:10,11,10,Bruise,none,3210,417
684940049151070208,2,Border_collie,2016-01-07 03:30:07,12,10,Oreo,none,2963,944
685169283572338688,1,Bernese_mountain_dog,2016-01-07 18:41:01,11,10,Gerbald,none,3772,1272
685198997565345792,1,Old_English_sheepdog,2016-01-07 20:39:06,11,10,Alfie,none,2135,588
685268753634967552,1,pug,2016-01-08 01:16:17,10,10,Hubertson,none,2831,1070
685307451701334016,1,Pomeranian,2016-01-08 03:50:03,11,10,Petrick,none,1919,395
685315239903100929,2,chow,2016-01-08 04:21:00,11,10,none,none,3022,942
685321586178670592,1,Boston_bull,2016-01-08 04:46:13,10,10,Rocky,none,2438,578
685325112850124800,1,golden_retriever,2016-01-08 05:00:14,10,10,Xbox,none,8660,3571
685532292383666176,1,collie,2016-01-08 18:43:29,9,10,RATE,none,2797,1043
685641971164143616,1,Lakeland_terrier,2016-01-09 01:59:19,7,10,Otis,none,2681,694
685663452032069632,1,Chesapeake_Bay_retriever,2016-01-09 03:24:40,12,10,Brooks,none,2968,1330
685906723014619143,1,Yorkshire_terrier,2016-01-09 19:31:20,9,10,Olive,none,6878,2580
685943807276412928,1,papillon,2016-01-09 21:58:42,8,10,none,pupper,1494,533
685973236358713344,1,Siberian_husky,2016-01-09 23:55:38,11,10,Lorelei,none,1932,477
686007916130873345,1,Rhodesian_ridgeback,2016-01-10 02:13:27,11,10,none,pupper,2273,363
686034024800862208,1,Great_Dane,2016-01-10 03:57:12,12,10,none,none,2833,1035
686050296934563840,1,Pomeranian,2016-01-10 05:01:51,11,10,Flávio,none,2065,665
686358356425093120,1,pug,2016-01-11 01:25:58,10,10,Son,none,1993,597
686377065986265092,1,German_shepherd,2016-01-11 02:40:19,10,10,Birf,pupper,2041,514
686386521809772549,1,Yorkshire_terrier,2016-01-11 03:17:53,11,10,Crimson,none,3001,791
686606069955735556,1,Labrador_retriever,2016-01-11 17:50:18,10,10,Horace,none,1747,490
686618349602762752,1,Rottweiler,2016-01-11 18:39:05,11,10,Olivia,none,3404,1236
686683045143953408,1,Norwich_terrier,2016-01-11 22:56:10,11,10,Mona,pupper,2605,729
686730991906516992,1,Tibetan_mastiff,2016-01-12 02:06:41,12,10,none,none,3792,1087
687096057537363968,1,Labrador_retriever,2016-01-13 02:17:20,11,10,NewYear,none,2073,551
687109925361856513,2,borzoi,2016-01-13 03:12:26,11,10,Baxter,none,5346,2224
687124485711986689,1,beagle,2016-01-13 04:10:18,11,10,Samson,none,2014,460
687127927494963200,1,pug,2016-01-13 04:23:58,9,10,Gordon,none,4965,2045
687312378585812992,1,Great_Dane,2016-01-13 16:36:55,7,10,Dalmatian,pupper,3999,1726
687317306314240000,1,Shih-Tzu,2016-01-13 16:56:30,11,10,Tyrone,none,18606,8322
687460506001633280,1,Boston_bull,2016-01-14 02:25:31,10,10,Kramer,none,1907,490
687480748861947905,1,English_springer,2016-01-14 03:45:57,12,10,none,none,1472,221
